"importId";"leaveReason.leaveReason";"employee.importId";"quantity";"daysToValidate";"daysValidated";"totalQuantity"
1;"Paid leave and seniority";1;12;0;0;12
2;"Paid leave and seniority";2;52;0;0;52
3;"Paid leave and seniority";3;45;0;0;45
4;"Paid leave and seniority";4;5;0;0;5
5;"Paid leave and seniority";5;4;0;0;4
6;"Paid leave and seniority";6;23;0;0;23
7;"Paid leave and seniority";7;75;0;0;75
8;"Paid leave and seniority";8;11;0;0;11
9;"Paid leave and seniority";9;14;0;0;14
10;"Paid leave and seniority";10;10;0;0;10
11;"Paid leave and seniority";11;1;0;0;1
12;"Paid leave and seniority";12;31;0;0;31
13;"Paid leave and seniority";13;27;0;0;27
14;"Paid leave and seniority";14;16;0;0;16
15;"Paid leave and seniority";15;21;0;0;21
16;"Paid leave and seniority";16;9;0;0;9
17;"Paid leave and seniority";17;13;0;0;13
18;"Paid leave and seniority";18;8;0;0;8
19;"Unpaid leave";1;0;0;0;0
20;"Unpaid leave";2;0;0;0;0
21;"Unpaid leave";3;0;0;0;0
22;"Unpaid leave";4;0;0;0;0
23;"Unpaid leave";5;0;0;0;0
24;"Unpaid leave";6;0;0;0;0
25;"Unpaid leave";7;0;0;0;0
26;"Unpaid leave";8;0;0;0;0
27;"Unpaid leave";9;0;0;0;0
28;"Unpaid leave";10;0;0;0;0
29;"Unpaid leave";11;0;0;0;0
30;"Unpaid leave";12;0;0;0;0
31;"Unpaid leave";13;0;0;0;0
32;"Unpaid leave";14;0;0;0;0
33;"Unpaid leave";15;0;0;0;0
34;"Unpaid leave";16;0;0;0;0
35;"Unpaid leave";17;0;0;0;0
36;"Unpaid leave";18;0;0;0;0
